Restaurant ID;Restaurant Name;Country Code;City;Address;Locality;Locality Verbose;Longitude;Latitude;Cuisines;Average Cost for two;Currency;Has Table booking;Has Online delivery;Is delivering now;Switch to order menu;Price range;Aggregate rating;Rating color;Rating text;Votes;
95380;KFC;1;Kochi;Shop 1, Ground Floor, Gold Souk Grandé, NH Bypass Road, Vyttila, Kochi;Gold Souk Grandé, Vytilla;Gold Souk Grandé, Vytilla, Kochi;763.165.110.000;99.776.010.000;Burger, Fast Food;500;Indian Rupees(Rs.);0;1;1;0;2;3.0;CDD614;Average;395;
95380;KFC;1;Kochi;Shop 1, Ground Floor, Gold Souk Grandé, NH Bypass Road, Vyttila, Kochi;Gold Souk Grandé, Vytilla;Gold Souk Grandé, Vytilla, Kochi;763.165.110.000;99.776.010.000;Burger, Fast Food;500;Indian Rupees(Rs.);0;1;1;0;2;3.0;CDD614;Average;395;
95286;Grand Hotel Restaurant;1;Kochi;Grand Hotel, MG Road, Kochi;Grand Hotel, MG Road;Grand Hotel, MG Road, Kochi;762.851.531.804;99.707.192.850;North Indian, Kerala, Chinese, Continental;1000;Indian Rupees(Rs.);0;0;0;0;3;4.3;5BA829;Very Good;608;
900551;Aavi;1;Kochi;Itty&#039;;;;;;;;;;;;;;;;;
900969;Barbeque Nation;1;Kochi;6th Floor, Imperial Trade Centre, Mahatma Gandhi Road, Kacheripady, Kochi;Kacheripady;Kacheripady, Kochi;762.822.940.000;99.829.330.000;European, North Indian, Mediterranean, American;1500;Indian Rupees(Rs.);1;0;0;0;3;4.9;3F7E00;Excellent;962;
900586;Big Fat Momo;1;Kochi;Opposite Saritha Savitha Theatres, Towards Kombara Junction, Kacheripady, Kochi;Kacheripady;Kacheripady, Kochi;762.769.472.222;99.855.500.000;Street Food, Tibetan, Momos;350;Indian Rupees(Rs.);0;1;0;0;1;4.3;5BA829;Very Good;411;
95333;Chiyang;1;Kochi;Mariyambika Building, Madhava Pharmacy Junction, Kacheripady, Kochi;Kacheripady;Kacheripady, Kochi;762.808.056.548;99.856.366.115;Chinese, Continental;450;Indian Rupees(Rs.);0;1;1;0;1;4.0;5BA829;Very Good;622;
900689;Sardarji Ka Dhaba;1;Kochi;Near Canara Bank, Madhava ;;;;;;;;;;;;;;;;;
Pharmacy Junction; Kacheripady;" Kochi""";Kacheripady;Kacheripady, Kochi;762.808.400.000;99.858.120.000;Juices, Desserts, North Indian;750;Indian Rupees(Rs.);0;1;1;0;2;4.1;5BA829;Very Good;521;;;
900547;Slice of Spice;1;Kochi;Market Road, Opposite Saritha Savitha Theatre, Kacheripady, Kochi;Kacheripady;Kacheripady, Kochi;762.769.989.300;99.854.969.380;Biryani, Fast Food;400;Indian Rupees(Rs.);0;1;0;0;1;4.2;5BA829;Very Good;497;
901176;Domino's Pizza;1;Kochi;Carnival Food Court, Kakkanad, Kochi;Kakkanad;Kakkanad, Kochi;763.644.054.160;100.149.815.555;Pizza, Fast Food;400;Indian Rupees(Rs.);0;0;0;0;1;2.6;FFBA00;Average;535;
